date,mtgox,btc-e,bitstamp,btcchina
2013-11-15 22:55:00 +0800,2729.78,2550.54,2601.91,2737.94
2013-11-15 23:55:00 +0800,2736.96,2552.42,2604.28,2732.61
2013-11-16 00:55:00 +0800,2745.56,2547.09,2605.14,2739.55
2013-11-16 01:55:00 +0800,2751.24,2545.72,2604.66,2749.59
2013-11-16 02:55:00 +0800,2708.99,2524.61,2594.78,2743.51
2013-11-16 03:55:00 +0800,2665.34,2484.08,2570.03,2752.64
2013-11-16 04:55:00 +0800,2663.27,2485.97,2539.74,2735.45
2013-11-16 05:55:00 +0800,2593.18,2412.66,2481.09,2720.0
2013-11-16 06:55:00 +0800,2589.47,2424.59,2475.77,2697.68
2013-11-16 07:55:00 +0800,2629.83,2461.51,2504.08,2716.62
2013-11-16 08:55:00 +0800,2656.79,2476.48,2542.7,2725.76
2013-11-16 09:55:00 +0800,2655.65,2481.59,2540.54,2718.77
2013-11-16 10:55:00 +0800,2683.93,2496.01,2533.34,2717.25
2013-11-16 11:55:00 +0800,2721.19,2525.04,2575.96,2738.48
2013-11-16 12:55:00 +0800,2742.7,2539.16,2598.76,2740.23
2013-11-16 13:55:00 +0800,2680.97,2497.68,2545.12,2722.85
2013-11-16 14:55:00 +0800,2742.5,2526.86,2577.24,2739.07
